GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,3329,Other fabricated metal product manufacturing,,2011,244553,1,12386378,174720,7219983,353710,33683878,72002923,39071677,1,1946741,2
0100000US,,United States,,3329,Other fabricated metal product manufacturing,,2010,237243,1,11705446,167549,6731669,335801,29202969,64095654,35497860,1,1492167,4
0100000US,,United States,,333,Machinery manufacturing,,2011,964668,1,54217654,621357,27793012,1241262,192543995,365734798,177486219,1,10613824,1
0100000US,,United States,,333,Machinery manufacturing,,2010,919272,1,49935138,584229,24935776,1156807,165000141,317696523,154527272,1,7740333,1
0100000US,,United States,,3331,"Agriculture, construction, and mining machinery manufacturing",,2011,181955,2,9987198,123740,5726618,246323,59197116,103090304,45504238,2,4011551,1
0100000US,,United States,,3331,"Agriculture, construction, and mining machinery manufacturing",,2010,169655,2,8799141,112597,4853432,218581,48085266,86537044,38499127,3,2525074,2
0100000US,,United States,,3332,Industrial machinery manufacturing,,2011,102492,1,6957827,55046,2707514,110143,16208357,35686311,19487533,1,829663,5
0100000US,,United States,,3332,Industrial machinery manufacturing,,2010,99098,1,6411526,52604,2448825,104464,14222819,30619809,16824721,1,567272,4
0100000US,,United States,,3333,Commercial and service industry machinery manufacturing,,2011,74961,1,4370503,42201,1803513,84375,11267320,22826892,11592546,2,652486,4
0100000US,,United States,,3333,Commercial and service industry machinery manufacturing,,2010,74486,1,4251435,41779,1687241,83837,10609993,21614959,10972652,2,511835,7
0100000US,,United States,,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",,2011,122216,2,5552124,87620,3101017,170634,20611604,38678450,18088050,2,739302,2
0100000US,,United States,,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",,2010,120165,2,5483324,85495,2988756,167098,18696546,36307851,17557641,2,1246387,3
0100000US,,United States,,3335,Metalworking machinery manufacturing,,2011,135527,1,7508971,97173,4613655,198920,11491043,27784994,16933849,1,1151287,6
0100000US,,United States,,3335,Metalworking machinery manufacturing,,2010,126625,1,6767649,90104,4126067,181401,9282670,23476561,14197082,1,700733,7
0100000US,,United States,,3336,"Engine, turbine, and power transmission equipment manufacturing",,2011,92487,1,5256642,61160,2934807,120831,27848655,46226107,18797058,1,1502688,2
0100000US,,United States,,3336,"Engine, turbine, and power transmission equipment manufacturing",,2010,86688,1,4792411,55759,2583498,110296,22513166,36657223,15463503,1,979375,1
0100000US,,United States,,3339,Other general purpose machinery manufacturing,,2011,255030,1,14584389,154417,6905888,310035,45919900,91441741,47082946,1,1726847,2
0100000US,,United States,,3339,Other general purpose machinery manufacturing,,2010,242555,1,13429653,145891,6247956,291130,41589681,82483076,41012546,1,1209657,1
0100000US,,United States,,334,Computer and electronic product manufacturing,,2011,816676,1,59943663,382760,19167380,757953,131720627,337860603,208008489,1,16918781,1
0100000US,,United States,,334,Computer and electronic product manufacturing,,2010,816813,1,57554894,381746,18259941,751975,132193961,331330304,200487078,1,13398585,1
0100000US,,United States,,3341,Computer and peripheral equipment manufacturing,,2011,55300,6,4114041,17596,846929,35232,16017103,28892720,13009329,3,1454821,11
0100000US,,United States,,3341,Computer and peripheral equipment manufacturing,,2010,61360,5,4322978,21394,982433,42688,20188214,38082707,17849858,1,1495900,11
